PRESIDENT,AGE,DAYS,YEARS,HEIGHT,HEIGHT OPP
Washington,57,2864.0,10.0,188,
J. Adams,61,1460.0,29.0,170,189.0
Jefferson,57,2921.0,26.0,189,170.0
Madison,57,2921.0,28.0,163,
Monroe,58,2921.0,15.0,183,
J. Q. Adams,57,1460.0,23.0,171,191.0
Jackson,61,2921.0,17.0,185,171.0
Van Buren,54,1460.0,25.0,168,180.0
Harrison,68,31.0,0.0,173,168.0
Polk,49,1460.0,4.0,173,185.0
Taylor,64,491.0,1.0,173,174.0
Pierce,48,1460.0,16.0,178,196.0
Buchanan,65,1460.0,12.0,183,175.0
Lincoln,52,1503.0,4.0,193,188.0
Grant,46,2921.0,17.0,173,
Hayes,54,1460.0,16.0,173,178.0
Garfield,49,199.0,0.0,183,187.0
Cleveland,47,2920.0,24.0,180,180.0
Harrison,55,1460.0,12.0,168,180.0
McKinley,54,1655.0,4.0,170,178.0
T. Roosevelt,42,2727.0,18.0,178,175.0
Taft,51,1460.0,21.0,182,178.0
Wilson,56,2921.0,11.0,180,182.0
Harding,55,881.0,2.0,183,178.0
Coolidge,51,2039.0,9.0,178,180.0
Hoover,54,1460.0,36.0,182,180.0
F. Roosevelt,51,4452.0,12.0,188,182.0
Truman,60,2810.0,28.0,175,173.0
Eisenhower,62,2922.0,16.0,179,178.0
J. Kennedy,43,1036.0,3.0,183,182.0
Johnson,55,1886.0,9.0,192,180.0
Nixon,56,2027.0,25.0,182,180.0
Carter,52,1461.0,,177,183.0
Reagan,69,2922.0,23.0,185,177.0
G. H. W. Bush,64,1461.0,,188,173.0
Clinton,46,2922.0,,188,188.0
G. W. Bush,54,2920.0,,183,185.0
Obama,47,,,188,175.0
