Name,Position,Weight,Height,Age,Team
Josh Allen,QB,237,77,28,buffalo-bills
Alec Anderson,OT,305,77,25,buffalo-bills
Joe Andreessen,LB,232,73,24,buffalo-bills
Tyler Bass,K,183,70,27,buffalo-bills
Christian Benford,DB,205,73,24,buffalo-bills
Terrel Bernard,LB,224,73,25,buffalo-bills
Cole Bishop,DB,207,74,22,buffalo-bills
Spencer Brown,OT,311,80,26,buffalo-bills
William Clapp,C,311,77,28,buffalo-bills
Brandon Codrington,DB,185,69,24,buffalo-bills
Keon Coleman,WR,215,76,21,buffalo-bills
James Cook,RB,190,71,25,buffalo-bills
Amari Cooper,WR,210,73,30,buffalo-bills
Zach Davidson,TE,251,79,26,buffalo-bills
Re'Mahn Davis,RB,220,68,25,buffalo-bills
Dion Dawkins,OT,320,77,30,buffalo-bills
Rasul Douglas,DB,209,74,31,buffalo-bills
David Edwards,OG,308,78,27,buffalo-bills
Kaiir Elam,DE,260,78,26,buffalo-bills
Reid Ferguson,LS,235,74,30,buffalo-bills
Reggie Gilliam,RB,244,72,27,buffalo-bills
Damar Hamlin,DB,200,72,26,buffalo-bills
Mack Hollins,WR,221,76,31,buffalo-bills
Ja'Marcus Ingram,DB,190,74,27,buffalo-bills
Quinton Jefferson,DT,291,76,31,buffalo-bills
Austin Johnson,DT,314,76,30,buffalo-bills
Taron Johnson,DB,192,71,28,buffalo-bills
Ty Johnson,RB,210,70,27,buffalo-bills
DaQuan Jones,DT,320,76,32,buffalo-bills
Dalton Kincaid,TE,240,76,25,buffalo-bills
Dawson Knox,TE,254,76,28,buffalo-bills
Cameron Lewis,DB,183,69,27,buffalo-bills
Sam Martin,P,211,73,34,buffalo-bills
Connor McGovern,OG,318,77,27,buffalo-bills
Matt Milano,LB,223,72,30,buffalo-bills
Von Miller,LB,250,75,35,buffalo-bills
Quintin Morris,TE,252,74,25,buffalo-bills
Nicholas Morrow,LB,216,72,29,buffalo-bills
Ed Oliver,DT,287,73,26,buffalo-bills
Jordan Phillips,DT,341,78,32,buffalo-bills
Taylor Rapp,DB,208,72,26,buffalo-bills
Gregory Rousseau,DE,266,78,24,buffalo-bills
Curtis Samuel,WR,195,71,28,buffalo-bills
Khalil Shakir,WR,190,72,24,buffalo-bills
Javon Solomon,DE,247,73,23,buffalo-bills
Casey Toohill,DE,254,77,28,buffalo-bills
O'Cyrus Torrence,OG,347,77,24,buffalo-bills
Mitchell Trubisky,QB,222,75,30,buffalo-bills
Edefuan Ulofoshio,LB,239,73,24,buffalo-bills
Jalen Virgil,WR,210,73,26,buffalo-bills
Mike White,QB,220,77,29,buffalo-bills
Shane Buechele,QB,210,72,26,buffalo-bills
DeWayne Carter,DT,305,75,23,buffalo-bills
Travis Clayton,OT,301,79,23,buffalo-bills
Tylan Grable,OT,309,77,25,buffalo-bills
Dawuane Smoot,LB,264,75,29,buffalo-bills
Eli Ankou,DT,325,75,30,buffalo-bills
Deon Cain,WR,202,74,28,buffalo-bills
Lewis Cine,DB,199,74,25,buffalo-bills
Kameron Cline,DE,283,76,26,buffalo-bills
Te'Cory Couch,DB,175,70,25,buffalo-bills
Branson Deen,DT,280,74,24,buffalo-bills
Mike Edwards,OG,363,77,26,buffalo-bills
Frank Gore,RB,195,68,22,buffalo-bills
Richard Gouraige,OT,306,77,26,buffalo-bills
KJ Hamler,WR,178,69,25,buffalo-bills
Daequan Hardy,DB,178,69,23,buffalo-bills
Kareem Jackson,DB,196,70,36,buffalo-bills
Kingsley Jonathan,DE,260,76,26,buffalo-bills
Zion Logue,DT,314,78,23,buffalo-bills
Tyrell Shavers,WR,211,76,25,buffalo-bills
Mike Edwards,DB,205,70,28,buffalo-bills
Marquez Valdes-Scantling,WR,206,76,30,buffalo-bills
De'Von Achane,RB,188,69,23,miami-dolphins
Terron Armstead,OT,305,77,33,miami-dolphins
Jake Bailey,P,214,74,27,miami-dolphins
Quinton Bell,LB,251,76,28,miami-dolphins
Ethan Bonner,DB,186,73,25,miami-dolphins
Aaron Brewer,OG,295,73,27,miami-dolphins
Jordyn Brooks,LB,240,72,27,miami-dolphins
Calais Campbell,DT,282,80,38,miami-dolphins
Elijah Campbell,DB,200,71,29,miami-dolphins
River Cracraft,WR,198,72,30,miami-dolphins
Tyrel Dodson,LB,237,72,26,miami-dolphins
Storm Duck,DB,195,72,23,miami-dolphins
Liam Eichenberg,OT,306,78,26,miami-dolphins
D'Wayne Eskridge,WR,190,69,27,miami-dolphins
Neil Farrell,DT,325,76,26,miami-dolphins
Kendall Fuller,DB,196,71,29,miami-dolphins
Da'Shawn Hand,DT,297,75,29,miami-dolphins
Julian Hill,TE,251,76,24,miami-dolphins
Tyreek Hill,WR,191,70,30,miami-dolphins
Jevon Holland,DB,210,73,24,miami-dolphins
Tyler Huntley,QB,205,73,26,miami-dolphins
Alec Ingold,RB,232,73,28,miami-dolphins
Benito Jones,DT,335,73,27,miami-dolphins
Robert Jones,OG,325,76,25,miami-dolphins
Mohamed Kamara,LB,248,73,25,miami-dolphins
Kader Kohou,DB,193,70,26,miami-dolphins
Kendall Lamm,OT,308,77,32,miami-dolphins
Patrick McMorris,DB,206,72,23,miami-dolphins
Andrew Meyer,OT,295,75,24,miami-dolphins
Raheem Mostert,RB,205,70,32,miami-dolphins
Siran Neal,DB,206,72,30,miami-dolphins
Emmanuel Ogbah,LB,275,76,31,miami-dolphins
Patrick Paul,OT,331,79,23,miami-dolphins
Jordan Poyer,DB,191,72,33,miami-dolphins
Jalen Ramsey,DB,208,73,30,miami-dolphins
Duke Riley,LB,227,73,30,miami-dolphins
