title,genre,language,imdb_score,premiere,runtime,year
Notes for My Son,Drama,Spanish,6.3,2020-11-24,83,2020
"To Each, Her Own",Romantic comedy,French,5.3,2018-06-24,95,2018
The Lovebirds,Romantic comedy,English,6.1,2020-05-22,87,2020
The Perfection,Horror-thriller,English,6.1,2019-05-24,90,2019
Happy Anniversary,Romantic comedy,English,5.8,2018-03-30,78,2018
Why Did You Kill Me?,Documentary,English,5.6,2021-04-14,83,2021
Death to 2020,Comedy,English,6.8,2020-12-27,70,2020
Brene Brown: The Call to Courage,Documentary,English,7.7,2019-04-19,76,2019
Operation Christmas Drop,Romantic comedy,English,5.8,2020-11-05,96,2020
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,English,6.9,2019-05-23,30,2019
Porta dos Fundos: The First Temptation of Christ,Comedy,Portuguese,4.6,2019-12-03,46,2019
El Pepe: A Supreme Life,Documentary,Spanish,7.1,2019-12-27,73,2019
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,English/Mandarin,7.3,2016-10-14,79,2016
"Out of Many, One",Documentary,English,5.7,2018-12-12,34,2018
If Anything Happens I Love You,Animation / Short,English,7.8,2020-11-20,12,2020
Polar,Action,English,6.3,2019-01-25,118,2019
Shimmer Lake,Crime thriller,English,6.3,2017-06-09,86,2017
In the Tall Grass,Horror,English,5.4,2019-10-04,101,2019
Pieces of a Woman,Drama,English,7.1,2021-01-07,126,2021
The Knight Before Christmas,Romantic comedy,English,5.5,2019-11-21,92,2019
Unicorn Store,Comedy,English,5.5,2019-04-05,92,2019
Our Souls at Night,Romance,English,6.9,2017-09-29,103,2017
Birders,Documentary,English/Spanish,6.4,2019-09-25,37,2019
Christmas Crossfire,Thriller,German,4.8,2020-12-04,106,2020
Shawn Mendes: In Wonder,Documentary,English,6.6,2020-11-23,83,2020
"Game Over, Man!",Action/Comedy,English,5.4,2018-03-23,101,2018
Icarus,Documentary,English,7.9,2017-08-04,120,2017
Forgive Us Our Debts,Drama,Italian,6.0,2018-05-04,104,2018
Clinical,Thriller,English,5.1,2017-01-13,104,2017
Crazy About Her,Romantic comedy,Spanish,6.6,2021-02-26,102,2021
Night in Paradise,Drama,Korean,6.7,2021-04-09,132,2021
Parchis: The Documentary,Documentary,Spanish,6.7,2019-07-10,106,2019
The Siege of Jadotville,War,English,7.2,2016-10-07,108,2016
I Am All Girls,Thriller,English,5.8,2021-05-14,107,2021
Fyre: The Greatest Party That Never Happened,Documentary,English,7.2,2019-01-18,97,2019
In the Shadow of the Moon,Thriller,English,6.2,2019-09-27,115,2019
"Ariana Grande: Excuse Me, I Love You",Concert Film,English,6.4,2020-12-21,97,2020
Kevin Hart's Guide to Black History,Variety show,English,5.5,2019-02-08,63,2019
Secret Obsession,Thriller,English,4.4,2019-07-18,97,2019
Apostle,Horror-thriller,English,6.3,2018-10-12,129,2018
The Polka King,Comedy-drama,English,5.9,2018-01-12,95,2018
American Factory,Documentary,English,7.4,2019-08-21,110,2019
Sentinelle,Action,French,4.7,2021-03-05,80,2021
Paradox,Musical/Western/Fantasy,English,3.9,2018-03-23,73,2018
Coin Heist,Heist,English,4.8,2017-01-06,97,2017
A California Christmas,Romantic comedy,English,5.8,2020-12-14,107,2020
The Killer,Western,Portuguese,6.1,2017-11-10,99,2017
Tall Girl,Comedy-drama,English,5.2,2019-09-13,102,2019
Uncorked,Drama,English,6.3,2020-03-27,103,2020
Outside the Wire,Action/Science fiction,English,5.4,2021-01-15,114,2021
El Camino Christmas,Dark comedy,English,5.7,2017-12-08,89,2017
The Beast,Drama,Italian,5.2,2020-11-27,99,2020
The Trial of the Chicago 7,Drama,English,7.8,2020-10-16,130,2020
The American Meme,Documentary,English,6.6,2018-12-07,98,2018
The White Tiger,Drama,English,7.1,2021-01-22,125,2021
Holiday Rush,Family film,English,4.9,2019-11-28,94,2019
Hope Frozen: A Quest to Live Twice,Documentary,Thia/English,6.7,2020-09-15,80,2020
The Paramedic,Thriller,Spanish,5.6,2020-09-16,94,2020
Irreplaceable You,Drama,English,6.4,2018-02-16,96,2018
The Princess Switch,Romantic comedy,English,6.0,2018-11-16,101,2018
House Arrest,Comedy,Hindi,5.5,2019-11-15,104,2019
Yeh Ballet,Drama,Hindi,7.6,2020-02-21,117,2020
The Other One: The Long Strange Trip of Bob Weir,Documentary,English,7.3,2015-05-22,83,2015
Imperial Dreams,Drama,English,6.7,2017-02-03,87,2017
ReMastered: Who Killed Jam Master Jay?,Documentary,English,6.6,2018-12-07,58,2018
All Because of You,Action comedy,Malay,4.2,2020-10-01,101,2020
Seeing Allred,Documentary,English,6.9,2018-02-09,95,2018
Sand Castle,War,English,6.3,2017-04-21,113,2017
Caught by a Wave,Romantic teen drama,Italian,5.7,2021-03-25,99,2021
Ginny Weds Sunny,Romantic comedy,Hindi,5.7,2020-10-09,125,2020
Dance Dreams: Hot Chocolate Nutcracker,Documentary,English,7.1,2020-11-27,80,2020
What Would Sophia Loren Do?,Documentary,English,6.6,2021-01-15,32,2021
Springsteen on Broadway,One-man show,English,8.5,2018-12-16,153,2018
The Main Event,Comedy,English,4.8,2020-04-10,101,2020
I'm No Longer Here,Drama,Spanish,7.3,2020-05-27,105,2020
Blackpink: Light Up the Sky,Documentary,Korean,7.5,2020-10-14,79,2020
Chopsticks,Comedy,Hindi,6.5,2019-05-31,100,2019
Circus of Books,Documentary,English,7.1,2020-04-22,92,2020
The Legend of Cocaine Island,Documentary,English,6.3,2019-03-29,87,2019
Ma Rainey's Black Bottom,Drama,English,7.0,2020-12-18,94,2020
Elisa & Marcela,Romance,Spanish,6.6,2019-06-07,118,2019
Seriously Single,Comedy,English,4.5,2020-07-31,107,2020
The Call,Drama,Korean,4.1,2020-11-27,112,2020
Angela's Christmas,Animation,English,7.1,2018-11-30,30,2018
Get the Goat,Comedy,Portuguese,6.3,2021-03-18,97,2021
What Did Jack Do?,Drama / Short,English,6.5,2020-01-20,17,2020
When We First Met,Romantic comedy,English,6.4,2018-02-09,97,2018
Alex Strangelove,Romantic comedy,English,6.3,2018-06-08,99,2018
