C,DB,DE,DT,K,LB,LS,OG,OT,P,QB,RB,TE,WR
311,205,260,291,183,232,235,308,305,211,237,190,251,215
320,207,266,314,195,224,240,318,311,214,222,220,240,210
313,185,247,320,213,223,230,347,320,215,220,244,254,221
314,209,254,287,220,250,254,363,301,225,210,210,252,195
300,200,283,341,187,216,245,295,309,207,205,195,251,190
308,190,260,305,190,239,230,325,306,235,227,188,248,210
306,192,249,325,201,264,246,325,305,217,219,232,246,202
317,183,265,280,188,251,260,325,306,210,232,205,247,178
300,208,250,314,185,240,238,315,308,194,235,210,232,211
305,199,285,282,210,237,242,311,295,176,225,210,247,206
307,175,270,325,185,248,248,319,331,195,235,216,241,198
310,178,241,297,183,275,228,318,320,230,223,220,249,190
301,196,254,335,232,227,242,310,306,193,215,205,254,191
335,205,256,300,201,254,238,296,322,221,200,227,248,185
320,186,274,295,172,236,240,297,305,200,220,225,247,191
293,200,250,292,225,235,233,330,313,208,215,215,254,185
303,195,309,319,184,240,223,308,315,202,214,235,250,201
287,196,271,315,201,235,209,300,315,207,216,220,255,186
310,210,292,310,205,263,235,370,314,205,209,220,251,174
300,193,270,330,174,268,224,380,320,198,215,213,241,213
315,206,265,299,215,225,240,310,312,220,203,209,247,206
310,206,260,305,216,227,250,309,370,223,230,197,241,185
310,191,270,298,208,255,249,310,300,218,215,247,257,202
301,208,263,310,202,231,252,329,312,216,223,197,257,205
324,180,272,319,205,255,245,315,299,229,210,191,217,197
307,214,270,303,208,250,226,328,323,225,227,305,252,192
307,205,315,303,167,250,239,340,311,189,225,210,253,203
307,196,272,330,202,238,245,320,325,219,206,205,239,203
305,191,248,296,211,255,247,315,319,190,223,211,245,184
307,205,272,283,206,250,229,325,305,193,225,212,255,205
315,190,268,338,175,241,247,315,310,196,230,206,255,190
312,216,250,305,202,254,235,319,315,231,244,215,245,182
300,205,265,315,188,234,255,315,325,200,196,215,246,215
317,208,267,350,201,233,252,327,307,208,215,218,250,219
300,185,290,311,215,260,232,303,345,,214,230,260,215
310,188,243,331,187,250,240,327,310,,220,227,245,189
306,230,273,305,185,240,255,334,340,,229,210,258,192
300,217,259,305,190,236,,306,380,,235,235,230,227
302,200,275,305,190,214,,305,309,,220,215,258,174
290,210,255,335,156,231,,310,315,,217,198,249,220
300,197,263,290,210,216,,308,338,,215,218,244,198
305,215,255,288,190,233,,323,315,,214,242,255,220
305,205,308,290,195,225,,314,308,,225,220,245,192
312,205,225,325,201,232,,303,307,,237,202,251,200
303,184,265,300,208,229,,310,315,,195,215,258,197
318,210,267,313,190,262,,330,313,,210,195,267,182
300,202,286,291,,235,,330,374,,207,228,242,183
285,175,265,309,,229,,307,315,,225,205,239,191
313,200,245,295,,259,,305,295,,216,218,260,198
307,191,287,293,,253,,315,300,,210,225,238,170
308,210,278,296,,235,,325,305,,236,255,240,198
310,188,255,305,,265,,311,311,,224,245,250,210
