AGE,GENDER (1=M),PULSE
43,0,80
57,1,84
38,0,94
80,1,74
34,1,50
77,1,60
29,1,52
69,0,58
44,0,66
35,1,62
79,1,52
72,0,56
18,1,76
65,1,52
37,0,82
29,0,78
30,1,62
44,0,86
51,0,88
50,1,72
63,1,60
23,1,64
66,0,56
65,1,78
46,0,36
70,1,82
59,1,66
31,0,66
35,0,84
40,1,66
55,0,76
22,0,78
51,0,64
26,0,66
62,0,78
74,1,96
43,0,60
56,0,64
54,0,84
20,0,82
80,1,42
18,1,86
30,1,72
63,0,70
64,0,74
78,0,86
55,1,64
18,0,90
40,0,88
39,1,72
21,1,72
39,0,90
68,0,90
51,0,94
18,0,68
35,1,54
44,1,66
18,0,90
20,0,82
45,0,80
51,0,74
63,0,56
37,1,56
80,1,80
80,0,100
18,1,72
62,1,64
41,1,64
59,0,74
36,1,96
80,1,58
33,0,76
60,0,76
38,0,86
55,1,66
68,0,74
21,0,66
32,1,58
27,1,58
62,1,68
24,1,70
37,0,62
19,1,84
69,0,78
46,0,68
80,1,58
41,0,62
27,1,78
80,0,62
41,0,74
68,0,104
62,1,66
35,1,86
24,1,70
42,0,54
64,0,74
28,1,54
33,0,74
58,1,84
18,1,72
46,1,74
45,1,64
27,1,66
63,0,84
69,1,62
60,0,60
57,1,62
41,0,52
61,1,82
46,1,54
41,0,84
65,1,62
63,1,54
30,1,104
64,1,78
66,0,66
60,0,56
19,1,88
54,0,66
24,0,84
57,0,64
74,0,64
65,0,78
18,0,104
32,1,76
26,0,84
29,0,84
67,0,62
36,0,82
63,0,64
23,0,78
45,1,70
39,0,76
35,0,86
53,0,72
59,0,82
37,1,66
57,1,50
25,0,82
38,1,40
34,1,74
31,0,66
64,1,74
65,1,76
47,1,66
66,1,66
60,0,58
57,0,62
46,0,80
69,0,58
76,1,82
27,1,64
25,0,82
63,0,76
75,1,84
66,0,70
36,0,88
29,0,44
23,1,64
19,1,80
29,1,62
33,1,70
54,1,82
42,1,78
41,1,74
51,0,58
68,0,64
32,0,68
70,0,70
51,1,64
45,0,58
61,1,52
76,1,60
45,0,72
47,0,80
27,0,70
22,0,74
60,0,72
67,0,66
46,1,66
62,1,58
37,1,74
72,1,70
31,0,82
58,1,66
41,0,98
41,0,74
60,1,72
58,1,66
56,1,52
66,1,82
58,0,80
41,0,82
60,1,66
45,1,66
61,1,70
35,1,68
80,1,66
52,1,56
80,0,56
26,1,72
22,0,78
18,0,100
80,1,60
54,1,102
58,1,74
80,0,56
21,1,64
70,1,88
57,0,68
78,0,72
21,0,64
74,1,60
58,0,94
69,1,80
49,0,72
45,0,56
56,1,86
24,1,72
39,1,74
49,1,92
74,1,58
46,0,80
37,0,76
44,1,64
42,0,56
53,1,68
19,1,64
56,0,56
80,1,62
19,1,64
29,0,54
26,1,64
40,1,58
30,1,66
43,0,72
22,0,70
42,1,58
21,0,80
20,0,72
30,1,72
45,0,62
75,1,60
20,0,96
29,1,62
55,0,72
45,0,60
68,1,82
57,1,82
56,1,72
37,0,98
42,1,62
39,1,76
23,0,72
23,0,80
20,0,84
24,1,78
27,1,78
60,0,68
52,1,84
80,1,74
61,0,86
33,1,72
51,1,60
80,1,70
30,1,66
76,0,72
43,1,82
70,0,80
75,0,64
22,0,82
30,1,80
21,1,54
46,0,80
46,0,62
74,0,74
45,1,80
34,0,96
53,1,76
48,1,70
51,1,54
29,1,72
33,1,68
80,1,68
48,1,80
64,0,72
80,0,96
18,1,76
33,1,62
51,0,64
18,1,72
49,0,62
67,1,62
18,0,82
42,0,76
24,1,94
50,0,94
53,1,86
34,0,74
31,1,90
