20-22,23-26,27-29
38,39,39
42,25,25
24,32,32
22,37,37
30,35,35
37,27,27
32,30,30
40,43,43
32,38,38
30,41,41
39,36,36
47,37,37
43,50,50
33,37,37
31,34,34
32,42,42
28,37,37
22,39,39
30,36,36
41,23,23
21,26,26
43,41,41
30,41,41
36,31,31
36,32,32
25,34,34
37,35,35
35,36,36
33,34,34
34,34,34
44,41,41
,31,31
,36,36
,25,25
,36,36
,40,40
,33,33
,48,48
,32,32
,37,37
,50,50
,27,27
,43,43
,35,35
,35,35
,41,41
,34,34
,30,
,39,
,35,
,26,
,32,
,36,
,43,
,37,
,45,
,39,
,29,
,39,
,28,
,36,
,37,
,39,
,50,
,39,
,33,
,32,
,29,
,36,
,23,
,36,
,20,
,36,
,10,
,43,
,37,
,35,
,35,
,37,
,46,
,33,
,34,
,25,
,44,
,31,
,32,
,37,
,22,
,50,
,36,
,30,
,35,
