PROF,COURSE EVAL,PROF EVAL,PROF GENDER,PROF AGE,SIZE,PROF BEAUTY,PROF PHOTO,CLASS LEVEL,Data:,,,,,,
1,4.3,4.7,female,36,24,5.000,color,upper,4.3,4.7,,,,,
2,4.5,4.6,male,59,17,3.000,color,upper,4.5,4.6,,,Step1:,OC:,There is a correlation between the profes eval and course eval 
3,3.7,4.1,male,51,55,3.333,color,upper,3.7,4.1,,,Step 2:,OOC: ,The is no correlation
4,4.3,4.5,female,40,40,3.167,color,upper,4.3,4.5,,,,,
5,4.4,4.8,female,31,42,7.333,color,upper,4.4,4.8,,,Step 3: ,H0:,rho = 0
6,4.2,4.4,male,62,182,5.500,color,upper,4.2,4.4,,,,H1: ,rho ≠ 0
7,4.0,4.4,female,33,33,4.167,color,upper,4.0,4.4,,,,,
8,3.4,3.4,female,51,25,4.000,color,upper,3.4,3.4,,,Step 4: ,alpha =,0.05
9,4.7,4.8,female,33,29,4.667,color,upper,4.7,4.8,,,,,
10,3.9,4.0,male,47,16,5.500,color,upper,3.9,4.0,,,Step 5: ,t =,27.24632446
11,3.1,3.6,male,35,18,4.833,color,upper,3.1,3.6,,,,,
12,4.0,4.1,male,37,30,4.333,color,upper,4.0,4.1,,,,r =,0.943824021
13,3.8,4.1,male,42,28,4.833,color,upper,3.8,4.1,,,,n =,93
14,3.4,3.5,male,49,30,4.000,color,upper,3.4,3.5,,,,,
15,2.9,2.9,female,37,23,5.500,color,upper,2.9,2.9,,,Step 6:,p-val = ,1.52831E-45
16,4.5,4.6,male,45,23,4.167,color,upper,4.5,4.6,,,,df = ,91
17,4.0,4.4,female,56,27,2.500,color,upper,4.0,4.4,,,,,
18,3.8,4.0,male,48,100,4.333,color,lower,3.8,4.0,,,Sep 7: ,is pval < alpha,
19,4.3,4.9,female,46,25,4.333,black&white,upper,4.3,4.9,,,,Yes!!!!!,RTN
20,3.4,3.5,female,57,17,4.333,color,upper,3.4,3.5,,,,,
21,3.4,3.7,female,52,19,4.833,color,upper,3.4,3.7,,,Step 8: ,There is evidence to reject with 95% the claim that there is no correlation. ,
22,3.3,3.4,female,29,19,2.833,color,upper,3.3,3.4,,,,There is evidence to support the claim that there is a correlation. ,
23,4.3,4.3,male,62,30,3.000,color,upper,4.3,4.3,,,,,
24,4.4,4.5,male,64,15,4.167,color,upper,4.4,4.5,,,,,
24,4.1,4.3,male,64,21,4.167,color,upper,4.1,4.3,,,,,
25,4.6,4.8,female,34,20,7.833,color,upper,4.6,4.8,,,,,
