PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Trey Lyles,SAC,28,81,234,Kentucky,Canada,2015,1,12,30,6.9,4.7,1.3,7.8,4.6,18.3,13.1,59.2,8.2
Royce O'Neale,BKN,30,78,226,Baylor,USA,Undrafted,Undrafted,Undrafted,44,7,4.6,2.9,-0.4,3,14.9,13.1,53.1,16.1
Talen Horton-Tucker,UTA,23,76,234,Iowa State,USA,2019,2,46,31,10.9,2.5,4.1,-1.5,1.7,9.3,23.5,50.7,29
Jaden Springer,PHI,21,76,202,Tennessee,USA,2021,1,28,26,3.1,1.4,0.9,-6.6,6.7,7.3,17.8,44.6,13.6
Nic Claxton,BKN,24,83,215,Georgia,USA,2019,2,31,35,12.4,10.4,1.9,-5.1,9.5,23.9,15.5,64.3,9.6
Jayson Tatum,BOS,25,80,210,Duke,USA,2017,1,3,43,26.8,8.4,4.3,10.3,2.6,19.2,29.3,59.9,18.9
Zion Williamson,NOP,23,78,284,Duke,USA,2019,1,1,37,21.9,5.5,4.7,2.1,5.8,11.8,27.5,62,24.7
Mo Bamba,PHI,25,85,231,Texas,USA,2018,1,6,24,4.3,3,0.5,4.6,13.6,17.3,17.9,63.6,9.3
Gui Santos,GSW,21,78,185,None,Brazil,2022,2,55,6,2.5,2,0.3,-16.1,10.6,19.4,17.8,55,9.5
Justin Minaya,POR,24,77,205,Providence,USA,Undrafted,Undrafted,Undrafted,12,1.5,1.1,0.4,-2.1,3.8,6.7,9.5,39.8,6.4
Ben Sheppard,IND,22,78,190,Belmont,USA,2023,1,26,25,3.1,1.2,0.9,0.7,2.5,9.8,12.7,48.6,10
Vince Williams Jr.,MEM,23,76,205,Virginia Commonwealth,USA,2022,2,47,36,8.4,5.5,2.2,0.4,4.9,16.9,13.5,61,12.2
Jacob Gilyard,MEM,25,68,160,Richmond,USA,Undrafted,Undrafted,Undrafted,29,3.8,1,3.2,-12.1,1.4,5,10.7,56.5,29.3
Obi Toppin,IND,25,81,220,Dayton,USA,2020,1,8,47,11.2,4,1.6,1.3,4.8,12.5,15.7,67.6,8.3
Dennis Schroder,TOR,30,73,175,None,Germany,2013,1,17,46,13.9,2.7,6.3,0.6,1.3,7.2,18.8,56.5,27
Aaron Gordon,DEN,28,80,235,Arizona,USA,2014,1,4,41,13.6,6.5,3,7.2,8.3,12.5,17,59.2,12.4
Clint Capela,ATL,29,82,256,None,Switzerland,2014,1,25,44,11.3,10.4,1,-3.6,15.9,21.8,15.9,59.4,5.2
Malcolm Brogdon,POR,31,76,229,Virginia,USA,2016,2,36,36,15.7,3.6,5.4,-4.9,2.2,10.4,22.9,55.8,30.3
Garrett Temple,TOR,37,77,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,12,1.5,0.8,0.5,-4.8,7.1,11.6,15.8,57.1,20
Marcus Smart,MEM,29,75,220,Oklahoma State,USA,2014,1,6,20,14.5,2.7,4.3,-0.8,0.9,7.3,22.5,55.2,21.1
Brandon Miller,CHA,21,79,200,Alabama,USA,2023,1,2,38,14.7,3.9,2.3,-9.3,2.7,10.4,21.3,53.6,10.7
Quentin Grimes,NYK,23,77,210,Houston,USA,2021,1,25,43,7.2,1.9,1.1,0.6,1.5,7.4,14.7,55.2,8.1
Shaedon Sharpe,POR,20,77,205,Kentucky,Canada,2022,1,7,32,15.9,5,2.9,-10.3,3.6,11.6,22,52.4,13.8
Josh Green,DAL,23,77,200,Arizona,Australia,2020,1,18,33,8.1,3.1,2.6,0.9,2.3,9.1,12.8,57.6,12.5
DeMar DeRozan,CHI,34,78,220,Southern California,USA,2009,1,9,45,22.1,4.1,5.4,-3,1.5,9.7,24,56.7,22.7
Kevin Knox II,DET,24,79,215,Kentucky,USA,2018,1,9,28,7.5,2.4,0.7,-10.1,2.9,10.9,15.7,58.2,5.6
Jalen Smith,IND,23,81,215,Maryland,USA,2020,1,10,33,10.6,5.6,1.1,-1.6,8.7,23.6,18.4,72.4,7.8
Kawhi Leonard,LAC,32,79,225,San Diego State,USA,2011,1,15,40,23.6,6.2,3.7,11.7,3.2,14.2,25.1,63.3,16.6
Cason Wallace,OKC,20,75,195,Kentucky,USA,2023,1,10,46,6.8,2.3,1.4,4.4,3.4,7.4,12,63.5,8.6
Mikal Bridges,BKN,27,78,209,Villanova,USA,2018,1,10,45,21.7,5.1,3.7,-2.2,2.2,11.8,25.6,57.1,16.6
Tre Mann,OKC,22,75,178,Florida,USA,2021,1,18,13,3.8,1.8,1.5,-3.8,3.5,16.1,18.2,60.6,25.3
Deandre Ayton,POR,25,85,247,Arizona,Bahamas,2018,1,1,30,13.2,10.6,1.6,-8.9,9.8,24.2,18.3,56.5,7.8
Nathan Mensah,CHA,25,81,230,San Diego State,Ghana,Undrafted,Undrafted,Undrafted,19,1.5,3,0.5,-21.1,8.9,14,6.9,51.3,5
Jevon Carter,CHI,28,73,200,West Virginia,USA,2018,2,32,45,5.2,0.8,1.2,0.7,0.7,5,17.8,47.9,12.3
Xavier Tillman,MEM,25,79,245,Michigan State,USA,2020,2,35,33,5.9,4.6,1.6,-6.7,7.4,14.9,16,43.3,12.4
Keldon Johnson,SAS,24,77,220,Kentucky,USA,2019,1,29,44,16.7,5.9,3.3,-8.4,4.4,14.1,22.3,55.5,15.7
Robin Lopez,MIL,35,85,281,Stanford,USA,2008,1,15,13,0.8,0.2,0.3,-9.8,3,4.7,11,56.3,14.8
Jalen Wilson,BKN,23,78,220,Kansas,USA,2023,2,51,11,4.5,2.2,0.8,-12.6,11.2,9.5,14.1,63.5,11.3
Boban Marjanovic,HOU,35,88,290,None,Serbia,Undrafted,Undrafted,Undrafted,8,2.1,2.3,0.5,-23.5,11.6,28.3,18.9,40.9,12.5
Ryan Arcidiacono,NYK,29,75,195,Villanova,USA,Undrafted,Undrafted,Undrafted,18,0,0.4,0.2,-2,0,13,6.7,0,13.8
JT Thor,CHA,21,81,203,Auburn,USA,2021,2,37,37,3.3,2.7,0.4,-7.2,6.3,11.9,11.5,44.2,3.9
Julian Phillips,CHI,20,80,198,Tennessee,USA,2023,2,35,23,1.3,0.6,0.3,3.5,2.8,7.1,11.8,42,9
Lester Quinones,GSW,23,76,208,Memphis,USA,Undrafted,Undrafted,Undrafted,9,2.7,1.3,0.6,8.1,6.3,13.6,20.1,50.3,10.6
Dillon Brooks,HOU,28,78,225,Oregon,Canada,2017,2,45,36,13.8,3.5,1.6,1,2.2,8.3,18.4,57.9,7.2
Gradey Dick,TOR,20,78,200,Kansas,USA,2023,1,13,25,4.2,1.5,1.1,-5.2,3.1,7.1,15,48.2,11.4
Alec Burks,DET,32,77,214,Colorado,USA,2011,1,12,39,12.5,2.4,1.5,-11.1,1.7,9.6,22.8,57.4,11.2
Gabe Vincent,LAL,27,74,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,5,5.4,1,3,-1.5,1.5,2.3,11.5,41.1,17.2
Seth Curry,DAL,33,73,185,Duke,USA,Undrafted,Undrafted,Undrafted,34,4.3,1.4,0.8,8.8,3,7.5,14.7,50.3,8.3
Ja Morant,MEM,24,74,174,Murray State,USA,2019,1,2,9,25.1,5.6,8.1,-0.2,1.9,13.4,29.6,57,38.4
Joe Ingles,ORL,36,81,220,None,Australia,Undrafted,Undrafted,Undrafted,32,5,2.5,3.3,4.9,2.5,11.6,12.1,56.1,22.4
Thaddeus Young,TOR,35,80,225,Georgia Tech,USA,2007,1,12,18,4.3,2.8,2.1,-2.7,8.1,13.2,13,58.4,19.7
Kessler Edwards,SAC,23,79,203,Pepperdine,USA,2021,2,44,30,1.5,0.7,0.3,-7.6,3.1,12.1,12.5,52.6,8.2
Terry Rozier,MIA,29,73,190,Louisville,USA,2015,1,16,33,21.9,3.9,6.5,-14.2,1.6,10.1,26.4,56.4,29.8
Trent Forrest,ATL,25,76,210,Florida State,USA,Undrafted,Undrafted,Undrafted,19,2.1,1.4,2,-16.5,2.2,12,12.4,38.9,26
Mamadi Diakite,SAS,27,81,228,Virginia,Guinea,Undrafted,Undrafted,Undrafted,3,4,1,0.7,15.2,5.9,11.8,22.2,78.5,25
Usman Garuba,GSW,21,80,229,None,Spain,2021,1,23,2,0,0,0.5,-33.3,0,0,5.3,0,33.3
R.J. Hampton,MIA,22,76,175,None,USA,2020,1,24,8,1.3,0.8,1,10.6,2.6,4.5,9.8,33.6,12.7
Saben Lee,PHX,24,74,183,Vanderbilt,USA,2020,2,38,11,2.8,1.1,1.1,7,8.5,8.6,19.5,54.4,24
Ziaire Williams,MEM,22,81,185,Stanford,USA,2021,1,10,44,7.7,3.4,1.5,-11.4,3.3,14.1,19.6,50.6,12.5
David Roddy,MEM,22,76,255,Colorado State,USA,2022,1,23,43,8.1,4,1.5,-7.2,4.5,13,17,49.4,9.4
Eric Gordon,PHX,35,75,215,Indiana,USA,2008,1,7,38,12.4,2.1,2.3,1.5,1.1,5.7,17,58.1,10.4
Bryce McGowens,CHA,21,78,175,Nebraska,USA,2022,2,40,35,5.1,1.7,0.9,-12.7,2.1,8.6,13.3,57.3,7.8
Terquavion Smith,PHI,21,76,160,North Carolina State,USA,Undrafted,Undrafted,Undrafted,4,2,0,1.3,2.3,0,0,25,40.5,38.5
Johnny Davis,WAS,21,76,195,Wisconsin,USA,2022,1,10,20,2.4,1,0.3,1.8,5.5,7.5,14.6,46.8,4.4
Joel Embiid,PHI,29,85,280,Kansas,Cameroon,2014,1,3,33,36,11.4,5.8,11.2,8,24,38.7,65,31.7
Kevon Looney,GSW,27,81,222,UCLA,USA,2015,1,30,43,5.4,6.9,2.3,-5.8,12,22,10.4,63.8,15.9
Wendell Carter Jr.,ORL,24,82,270,Duke,USA,2018,1,7,20,11.1,6.6,1.6,-1.3,7.3,19.7,17,63.1,9.7
Lindell Wigginton,MIL,25,73,189,Iowa State,Canada,2019,,,3,2,0,0,-66.5,0,0,41.2,51,0
Dejounte Murray,ATL,27,77,180,Washington,USA,2016,1,29,45,21.4,5,5.1,-4,1.8,12.6,24.2,56.7,22
Jarace Walker,IND,20,79,235,Houston,USA,2023,1,8,15,4.9,1.9,1.3,-1.7,4.6,13.3,18,55.2,15.5
Ron Harper Jr.,TOR,23,76,233,Rutgers,USA,Undrafted,Undrafted,Undrafted,1,0,0,1,-88.9,0,0,0,0,33.3
Kyle Anderson,MIN,30,81,230,UCLA,USA,2014,1,30,46,6.3,3.5,4,1.1,3.2,12,14,51.3,25.7
Nate Hinton,HOU,24,77,210,Houston,USA,Undrafted,Undrafted,Undrafted,6,2.3,1.3,0.3,-5.4,6.3,15.8,15.7,63.6,7.4
Jae'Sean Tate,HOU,28,76,230,Ohio State,USA,Undrafted,Undrafted,Undrafted,42,4.6,3.5,1.1,5,5.2,13,10.6,55.3,8.2
Johnny Juzang,UTA,22,77,209,UCLA,USA,Undrafted,Undrafted,Undrafted,1,0,0,1,-18.1,0,0,20,0,100
Luke Kornet,BOS,28,85,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,33,5.3,3.9,0.9,3.3,11.4,12.8,11.4,72,8.4
Keita Bates-Diop,PHX,28,80,229,Ohio State,USA,2018,2,48,35,4.5,2.6,0.9,-3.2,5.1,11.4,12.8,50.4,8.4
Trey Murphy III,NOP,23,80,206,Virginia,USA,2021,1,17,21,12.9,3.8,2,11.2,1.6,12.2,18.7,58.7,11
Stanley Umude,DET,24,78,210,Arkansas,USA,Undrafted,Undrafted,Undrafted,15,5,1.9,0.5,-11.4,2.1,15.1,16.9,69.3,7.7
Patrick Williams,CHI,22,79,215,Florida State,USA,2020,1,4,43,10,3.9,1.5,-1.2,3.9,10.5,16.3,55.3,7.7
Davis Bertans,OKC,31,82,225,None,Latvia,2011,2,42,14,3.1,0.7,0.6,7.8,2.1,9.1,14,67.5,11.7
JD Davison,BOS,21,73,195,Alabama,USA,2022,2,53,2,1,1,0,13.2,16.7,11.1,13.3,53.2,0
