brand,OSAT,Food looks appetizing,Has food that tastes good,Has food I crave,Provides the right proportions of ingredients,Has a wide variety of menu options,Offers healthy/better-for-you menu options,Is making changes to improve their food,"Has a unique, distinctive approach that makes food better",Has a wide range of ingredients,Portions are the right size for my appetite,Has good environmental/sustainability practices,Is worth the price,Is something I can afford to eat regularly,Is competitively priced,Is a good value for the money,Has enticing promotional offers,Has a good loyalty program,Employees show care for my food/order,Provides fast service,Ordering is simple and easy,Employees are friendly and engaging,Level of visibility of my food being made,I’m able to make my order exactly how I would like it,Provides a consistent experience,Integrates technology into its ordering process,Food is easy to eat on-the-go,I can easily order for delivery to a location convenient to me,Food prep area is clean and organized,Restaurant is clean,Environment is warm and inviting,Decor is current and modern,Restaurant environment is designed for someone like me,Restaurant has curb appeal,Ingredients are fresh,Ingredients are high quality,Offers good quality meats,Offers good quality veggies and toppings,Uses freshly baked bread,They make me feel valued,Place I am happy to be seen
Subway,5,4,6,4,4,5,6,5,4,5,6,6,6,4,3,4,5,3,4,5,2,5,7,5,5,6,4,6,6,7,5,4,4,5,6,6,5,5,6,4,7
Subway,6,6,7,6,7,6,7,6,7,6,6,7,7,6,6,7,6,7,6,6,7,6,7,6,6,6,6,6,7,6,6,6,6,7,7,6,6,6,7,7,6
Subway,7,4,7,7,7,7,7,6,6,7,7,7,4,7,7,6,7,7,6,7,7,7,7,7,7,5,6,6,6,7,7,7,,7,7,7,7,7,7,6,6
Subway,5,5,6,5,4,5,5,4,5,5,4,4,4,4,5,6,6,5,5,5,6,5,6,5,4,6,5,3,6,5,5,5,4,5,6,5,5,5,5,5,5
Subway,3,6,6,6,2,5,2,4,4,4,3,5,4,5,4,5,3,2,3,4,2,2,4,3,5,5,5,3,3,5,5,3,6,4,3,3,6,4,3,3,4
Subway,4,5,5,4,4,4,4,4,5,5,5,4,4,4,5,5,4,5,5,5,5,5,6,5,4,5,5,5,4,5,5,4,5,4,6,4,4,5,6,5,5
Subway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,6,6,6,5,6,6,6,5,6,6,6,,6,6,6,6,5,,6,6,6,5,6,6,6,,6,5,6,6,5,5,5,6,6,6,6,6,6,5,5
Subway,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Subway,6,6,5,5,5,5,4,5,5,5,5,5,4,5,6,6,5,4,5,5,5,5,6,5,4,6,5,6,4,5,3,5,5,5,5,5,5,5,5,6,4
