Name,Position,Weigth,Height,Age,Team
Josh Allen,QB,237, 6-5,28,buffalo-bills
Alec Anderson,OT,305, 6-5,25,buffalo-bills
Joe Andreessen,LB,232, 6-1,24,buffalo-bills
Tyler Bass,K,183, 5-10,27,buffalo-bills
Christian Benford,DB,205, 6-1,24,buffalo-bills
Terrel Bernard,LB,224, 6-1,25,buffalo-bills
Cole Bishop,DB,207, 6-2,22,buffalo-bills
Spencer Brown,OT,311, 6-8,26,buffalo-bills
William Clapp,C,311, 6-5,28,buffalo-bills
Brandon Codrington,DB,185, 5-9,24,buffalo-bills
Keon Coleman,WR,215, 6-4,21,buffalo-bills
James Cook,RB,190, 5-11,25,buffalo-bills
Amari Cooper,WR,210, 6-1,30,buffalo-bills
Zach Davidson,TE,251, 6-7,26,buffalo-bills
Re'Mahn Davis,RB,220, 5-8,25,buffalo-bills
Dion Dawkins,OT,320, 6-5,30,buffalo-bills
Rasul Douglas,DB,209, 6-2,31,buffalo-bills
David Edwards,OG,308, 6-6,27,buffalo-bills
Kaiir Elam,DE,260, 6-6,26,buffalo-bills
Reid Ferguson,LS,235, 6-2,30,buffalo-bills
Reggie Gilliam,RB,244, 6-0,27,buffalo-bills
Damar Hamlin,DB,200, 6-0,26,buffalo-bills
Mack Hollins,WR,221, 6-4,31,buffalo-bills
Ja'Marcus Ingram,DB,190, 6-2,27,buffalo-bills
Quinton Jefferson,DT,291, 6-4,31,buffalo-bills
Austin Johnson,DT,314, 6-4,30,buffalo-bills
Taron Johnson,DB,192, 5-11,28,buffalo-bills
Ty Johnson,RB,210, 5-10,27,buffalo-bills
DaQuan Jones,DT,320, 6-4,32,buffalo-bills
Dalton Kincaid,TE,240, 6-4,25,buffalo-bills
Dawson Knox,TE,254, 6-4,28,buffalo-bills
Cameron Lewis,DB,183, 5-9,27,buffalo-bills
Sam Martin,P,211, 6-1,34,buffalo-bills
Connor McGovern,OG,318, 6-5,27,buffalo-bills
Matt Milano,LB,223, 6-0,30,buffalo-bills
Von Miller,LB,250, 6-3,35,buffalo-bills
Quintin Morris,TE,252, 6-2,25,buffalo-bills
Nicholas Morrow,LB,216, 6-0,29,buffalo-bills
Ed Oliver,DT,287, 6-1,26,buffalo-bills
Jordan Phillips,DT,341, 6-6,32,buffalo-bills
Taylor Rapp,DB,208, 6-0,26,buffalo-bills
Gregory Rousseau,DE,266, 6-6,24,buffalo-bills
Curtis Samuel,WR,195, 5-11,28,buffalo-bills
Khalil Shakir,WR,190, 6-0,24,buffalo-bills
Javon Solomon,DE,247, 6-1,23,buffalo-bills
Casey Toohill,DE,254, 6-5,28,buffalo-bills
O'Cyrus Torrence,OG,347, 6-5,24,buffalo-bills
Mitchell Trubisky,QB,222, 6-3,30,buffalo-bills
Edefuan Ulofoshio,LB,239, 6-1,24,buffalo-bills
Jalen Virgil,WR,210, 6-1,26,buffalo-bills
Mike White,QB,220, 6-5,29,buffalo-bills
